HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/0f2d30692a6cdb8fd90ae3f6aec03a03/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/0f2d30692a6cdb8fd90ae3f6aec03a03/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 83758 / 6000000 | TPS 8375.79 | ETA 00:11:46
Time 00:00:20 | Step 171830 / 6000000 | TPS 8807.12 | ETA 00:11:01
Time 00:00:30 | Step 260703 / 6000000 | TPS 8887.28 | ETA 00:10:45
Time 00:00:40 | Step 347657 / 6000000 | TPS 8695.38 | ETA 00:10:50
Time 00:00:50 | Step 436857 / 6000000 | TPS 8919.96 | ETA 00:10:23
Time 00:01:00 | Step 526367 / 6000000 | TPS 8950.94 | ETA 00:10:11
Time 00:01:10 | Step 614353 / 6000000 | TPS 8798.57 | ETA 00:10:12
Time 00:01:20 | Step 701339 / 6000000 | TPS 8698.53 | ETA 00:10:09
Time 00:01:30 | Step 787066 / 6000000 | TPS 8572.62 | ETA 00:10:08
Time 00:01:40 | Step 874308 / 6000000 | TPS 8724.1 | ETA 00:09:47
Time 00:01:50 | Step 960540 / 6000000 | TPS 8623.13 | ETA 00:09:44
Time 00:02:00 | Step 1052336 / 6000000 | TPS 9179.59 | ETA 00:08:58
Time 00:02:10 | Step 1143744 / 6000000 | TPS 9140.76 | ETA 00:08:51
Time 00:02:20 | Step 1234238 / 6000000 | TPS 9049.31 | ETA 00:08:46
Time 00:02:30 | Step 1323717 / 6000000 | TPS 8947.83 | ETA 00:08:42
Time 00:02:40 | Step 1412347 / 6000000 | TPS 8862.93 | ETA 00:08:37
Time 00:02:50 | Step 1500889 / 6000000 | TPS 8854.18 | ETA 00:08:28
Time 00:03:00 | Step 1588846 / 6000000 | TPS 8795.65 | ETA 00:08:21
Time 00:03:10 | Step 1681196 / 6000000 | TPS 9234.93 | ETA 00:07:47
Time 00:03:20 | Step 1772461 / 6000000 | TPS 9126.42 | ETA 00:07:43
Time 00:03:30 | Step 1858175 / 6000000 | TPS 8571.4 | ETA 00:08:03
Time 00:03:40 | Step 1947614 / 6000000 | TPS 8943.87 | ETA 00:07:33
Time 00:03:50 | Step 2033335 / 6000000 | TPS 8572.04 | ETA 00:07:42
Time 00:04:00 | Step 2118705 / 6000000 | TPS 8536.9 | ETA 00:07:34
Time 00:04:10 | Step 2208959 / 6000000 | TPS 9025.36 | ETA 00:07:00
Time 00:04:20 | Step 2302109 / 6000000 | TPS 9314.73 | ETA 00:06:36
Time 00:04:30 | Step 2393544 / 6000000 | TPS 9143.44 | ETA 00:06:34
Time 00:04:40 | Step 2478589 / 6000000 | TPS 8504.41 | ETA 00:06:54
Time 00:04:50 | Step 2564192 / 6000000 | TPS 8560.22 | ETA 00:06:41
Time 00:05:00 | Step 2653271 / 6000000 | TPS 8907.83 | ETA 00:06:15
Time 00:05:10 | Step 2744385 / 6000000 | TPS 9111.37 | ETA 00:05:57
Time 00:05:20 | Step 2834289 / 6000000 | TPS 8990.32 | ETA 00:05:52
Time 00:05:30 | Step 2930525 / 6000000 | TPS 9623.58 | ETA 00:05:18
Time 00:05:40 | Step 3020407 / 6000000 | TPS 8988.14 | ETA 00:05:31
Time 00:05:50 | Step 3109548 / 6000000 | TPS 8914.08 | ETA 00:05:24
Time 00:06:00 | Step 3199341 / 6000000 | TPS 8979.23 | ETA 00:05:11
Time 00:06:10 | Step 3287946 / 6000000 | TPS 8860.49 | ETA 00:05:06
Time 00:06:20 | Step 3375677 / 6000000 | TPS 8773.02 | ETA 00:04:59
Time 00:06:30 | Step 3465087 / 6000000 | TPS 8940.97 | ETA 00:04:43
Time 00:06:40 | Step 3551015 / 6000000 | TPS 8592.8 | ETA 00:04:45
Time 00:06:50 | Step 3641104 / 6000000 | TPS 9008.84 | ETA 00:04:21
Time 00:07:00 | Step 3728550 / 6000000 | TPS 8744.55 | ETA 00:04:19
Time 00:07:10 | Step 3813114 / 6000000 | TPS 8456.34 | ETA 00:04:18
Time 00:07:20 | Step 3898352 / 6000000 | TPS 8523.77 | ETA 00:04:06
Time 00:07:30 | Step 3984510 / 6000000 | TPS 8615.74 | ETA 00:03:53
Time 00:07:40 | Step 4070130 / 6000000 | TPS 8562 | ETA 00:03:45
Time 00:07:50 | Step 4158005 / 6000000 | TPS 8787.46 | ETA 00:03:29
Time 00:08:00 | Step 4242768 / 6000000 | TPS 8476.24 | ETA 00:03:27
Time 00:08:10 | Step 4327647 / 6000000 | TPS 8487.9 | ETA 00:03:17
Time 00:08:20 | Step 4416866 / 6000000 | TPS 8921.8 | ETA 00:02:57
Time 00:08:30 | Step 4502002 / 6000000 | TPS 8513.56 | ETA 00:02:55
Time 00:08:40 | Step 4587359 / 6000000 | TPS 8535.62 | ETA 00:02:45
Time 00:08:50 | Step 4673330 / 6000000 | TPS 8597.09 | ETA 00:02:34
Time 00:09:00 | Step 4759079 / 6000000 | TPS 8574.85 | ETA 00:02:24
Time 00:09:10 | Step 4848021 / 6000000 | TPS 8894.14 | ETA 00:02:09
Time 00:09:20 | Step 4947149 / 6000000 | TPS 9912.73 | ETA 00:01:46
Time 00:09:30 | Step 5040052 / 6000000 | TPS 9290.29 | ETA 00:01:43
Time 00:09:40 | Step 5130687 / 6000000 | TPS 9063.47 | ETA 00:01:35
Time 00:09:50 | Step 5228329 / 6000000 | TPS 9764.2 | ETA 00:01:19
Time 00:10:00 | Step 5319787 / 6000000 | TPS 9145.73 | ETA 00:01:14
Time 00:10:10 | Step 5416686 / 6000000 | TPS 9689.62 | ETA 00:01:00
Time 00:10:20 | Step 5512835 / 6000000 | TPS 9614.86 | ETA 00:00:50
Time 00:10:30 | Step 5598451 / 6000000 | TPS 8561.51 | ETA 00:00:46
Time 00:10:40 | Step 5683287 / 6000000 | TPS 8483.56 | ETA 00:00:37
Time 00:10:50 | Step 5768431 / 6000000 | TPS 8514.31 | ETA 00:00:27
