HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/0f2d30692a6cdb8fd90ae3f6aec03a03/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/0f2d30692a6cdb8fd90ae3f6aec03a03/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 84165 / 6000000 | TPS 8416.47 | ETA 00:11:42
Time 00:00:20 | Step 177161 / 6000000 | TPS 9299.58 | ETA 00:10:26
Time 00:00:30 | Step 268376 / 6000000 | TPS 9121.44 | ETA 00:10:28
Time 00:00:40 | Step 358965 / 6000000 | TPS 9058.86 | ETA 00:10:22
Time 00:00:50 | Step 449466 / 6000000 | TPS 9050.09 | ETA 00:10:13
Time 00:01:00 | Step 538771 / 6000000 | TPS 8930.49 | ETA 00:10:11
Time 00:01:10 | Step 623489 / 6000000 | TPS 8471.75 | ETA 00:10:34
Time 00:01:20 | Step 711320 / 6000000 | TPS 8783.02 | ETA 00:10:02
Time 00:01:30 | Step 797080 / 6000000 | TPS 8575.91 | ETA 00:10:06
Time 00:01:40 | Step 886395 / 6000000 | TPS 8931.45 | ETA 00:09:32
Time 00:01:50 | Step 972274 / 6000000 | TPS 8587.87 | ETA 00:09:45
Time 00:02:00 | Step 1057794 / 6000000 | TPS 8551.91 | ETA 00:09:37
Time 00:02:10 | Step 1143524 / 6000000 | TPS 8572.98 | ETA 00:09:26
Time 00:02:20 | Step 1235386 / 6000000 | TPS 9186.18 | ETA 00:08:38
Time 00:02:30 | Step 1321595 / 6000000 | TPS 8620.81 | ETA 00:09:02
Time 00:02:40 | Step 1407842 / 6000000 | TPS 8624.63 | ETA 00:08:52
Time 00:02:50 | Step 1493791 / 6000000 | TPS 8594.86 | ETA 00:08:44
Time 00:03:00 | Step 1580402 / 6000000 | TPS 8661.08 | ETA 00:08:30
Time 00:03:10 | Step 1668341 / 6000000 | TPS 8793.8 | ETA 00:08:12
Time 00:03:20 | Step 1751902 / 6000000 | TPS 8356.02 | ETA 00:08:28
Time 00:03:30 | Step 1838467 / 6000000 | TPS 8656.48 | ETA 00:08:00
Time 00:03:40 | Step 1927201 / 6000000 | TPS 8873.24 | ETA 00:07:38
Time 00:03:50 | Step 2012259 / 6000000 | TPS 8505.79 | ETA 00:07:48
Time 00:04:00 | Step 2099674 / 6000000 | TPS 8741.48 | ETA 00:07:26
Time 00:04:10 | Step 2183699 / 6000000 | TPS 8402.48 | ETA 00:07:34
Time 00:04:20 | Step 2267386 / 6000000 | TPS 8368.68 | ETA 00:07:26
Time 00:04:30 | Step 2353884 / 6000000 | TPS 8649.76 | ETA 00:07:01
Time 00:04:40 | Step 2444257 / 6000000 | TPS 9037.22 | ETA 00:06:33
Time 00:04:50 | Step 2531644 / 6000000 | TPS 8738.63 | ETA 00:06:36
Time 00:05:00 | Step 2618800 / 6000000 | TPS 8715.59 | ETA 00:06:27
Time 00:05:10 | Step 2703907 / 6000000 | TPS 8510.69 | ETA 00:06:27
Time 00:05:20 | Step 2789723 / 6000000 | TPS 8581.57 | ETA 00:06:14
Time 00:05:30 | Step 2878391 / 6000000 | TPS 8866.74 | ETA 00:05:52
Time 00:05:40 | Step 2966218 / 6000000 | TPS 8782.67 | ETA 00:05:45
Time 00:05:50 | Step 3055994 / 6000000 | TPS 8977.49 | ETA 00:05:27
Time 00:06:00 | Step 3145390 / 6000000 | TPS 8939.58 | ETA 00:05:19
Time 00:06:10 | Step 3228391 / 6000000 | TPS 8300.06 | ETA 00:05:33
Time 00:06:20 | Step 3312465 / 6000000 | TPS 8407.38 | ETA 00:05:19
Time 00:06:30 | Step 3398536 / 6000000 | TPS 8607.08 | ETA 00:05:02
Time 00:06:40 | Step 3484856 / 6000000 | TPS 8632 | ETA 00:04:51
Time 00:06:50 | Step 3569639 / 6000000 | TPS 8478.3 | ETA 00:04:46
Time 00:07:00 | Step 3656087 / 6000000 | TPS 8644.73 | ETA 00:04:31
Time 00:07:10 | Step 3747458 / 6000000 | TPS 9137.02 | ETA 00:04:06
Time 00:07:20 | Step 3837754 / 6000000 | TPS 9029.57 | ETA 00:03:59
Time 00:07:30 | Step 3932878 / 6000000 | TPS 9512.35 | ETA 00:03:37
Time 00:07:40 | Step 4028026 / 6000000 | TPS 9514.73 | ETA 00:03:27
Time 00:07:50 | Step 4114382 / 6000000 | TPS 8635.52 | ETA 00:03:38
Time 00:08:00 | Step 4204495 / 6000000 | TPS 9011.28 | ETA 00:03:19
Time 00:08:10 | Step 4290811 / 6000000 | TPS 8631.59 | ETA 00:03:18
Time 00:08:20 | Step 4376407 / 6000000 | TPS 8559.59 | ETA 00:03:09
Time 00:08:30 | Step 4463550 / 6000000 | TPS 8714.24 | ETA 00:02:56
Time 00:08:40 | Step 4559730 / 6000000 | TPS 9617.99 | ETA 00:02:29
Time 00:08:50 | Step 4655132 / 6000000 | TPS 9540.15 | ETA 00:02:20
Time 00:09:00 | Step 4744076 / 6000000 | TPS 8894.4 | ETA 00:02:21
Time 00:09:10 | Step 4829401 / 6000000 | TPS 8532.23 | ETA 00:02:17
Time 00:09:20 | Step 4918205 / 6000000 | TPS 8880.4 | ETA 00:02:01
Time 00:09:30 | Step 5005405 / 6000000 | TPS 8719.94 | ETA 00:01:54
Time 00:09:40 | Step 5092126 / 6000000 | TPS 8672.03 | ETA 00:01:44
Time 00:09:50 | Step 5186652 / 6000000 | TPS 9452.51 | ETA 00:01:26
Time 00:10:00 | Step 5273617 / 6000000 | TPS 8696.41 | ETA 00:01:23
