HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/406ebab1bb7367f5094f47bcde8b8e44/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/406ebab1bb7367f5094f47bcde8b8e44/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 85974 / 6000000 | TPS 8597.36 | ETA 00:11:27
Time 00:00:20 | Step 174712 / 6000000 | TPS 8873.79 | ETA 00:10:56
Time 00:00:30 | Step 262710 / 6000000 | TPS 8799.77 | ETA 00:10:51
Time 00:00:40 | Step 352129 / 6000000 | TPS 8941.89 | ETA 00:10:31
Time 00:00:50 | Step 440003 / 6000000 | TPS 8787.36 | ETA 00:10:32
Time 00:01:00 | Step 529645 / 6000000 | TPS 8964.19 | ETA 00:10:10
Time 00:01:10 | Step 613707 / 6000000 | TPS 8406.18 | ETA 00:10:40
Time 00:01:20 | Step 701314 / 6000000 | TPS 8760.61 | ETA 00:10:04
Time 00:01:30 | Step 788748 / 6000000 | TPS 8743.32 | ETA 00:09:56
Time 00:01:40 | Step 874770 / 6000000 | TPS 8602.1 | ETA 00:09:55
Time 00:01:50 | Step 964103 / 6000000 | TPS 8933.28 | ETA 00:09:23
Time 00:02:00 | Step 1050998 / 6000000 | TPS 8689.43 | ETA 00:09:29
Time 00:02:10 | Step 1135360 / 6000000 | TPS 8436.2 | ETA 00:09:36
Time 00:02:20 | Step 1223824 / 6000000 | TPS 8846.31 | ETA 00:08:59
Time 00:02:30 | Step 1311983 / 6000000 | TPS 8815.85 | ETA 00:08:51
Time 00:02:40 | Step 1402352 / 6000000 | TPS 9036.82 | ETA 00:08:28
Time 00:02:50 | Step 1492042 / 6000000 | TPS 8968.95 | ETA 00:08:22
Time 00:03:00 | Step 1579801 / 6000000 | TPS 8775.72 | ETA 00:08:23
Time 00:03:10 | Step 1670615 / 6000000 | TPS 9081.36 | ETA 00:07:56
Time 00:03:20 | Step 1757625 / 6000000 | TPS 8700.95 | ETA 00:08:07
Time 00:03:30 | Step 1845604 / 6000000 | TPS 8797.86 | ETA 00:07:52
Time 00:03:40 | Step 1938204 / 6000000 | TPS 9259.99 | ETA 00:07:18
Time 00:03:50 | Step 2032275 / 6000000 | TPS 9407.05 | ETA 00:07:01
Time 00:04:00 | Step 2124779 / 6000000 | TPS 9250.36 | ETA 00:06:58
Time 00:04:10 | Step 2213851 / 6000000 | TPS 8907.1 | ETA 00:07:05
Time 00:04:20 | Step 2299109 / 6000000 | TPS 8525.75 | ETA 00:07:14
Time 00:04:30 | Step 2383959 / 6000000 | TPS 8484.95 | ETA 00:07:06
Time 00:04:40 | Step 2475436 / 6000000 | TPS 9147.63 | ETA 00:06:25
Time 00:04:50 | Step 2566416 / 6000000 | TPS 9097.93 | ETA 00:06:17
Time 00:05:00 | Step 2657924 / 6000000 | TPS 9150.71 | ETA 00:06:05
Time 00:05:10 | Step 2747749 / 6000000 | TPS 8982.41 | ETA 00:06:02
Time 00:05:20 | Step 2835935 / 6000000 | TPS 8818.59 | ETA 00:05:58
Time 00:05:30 | Step 2924836 / 6000000 | TPS 8890.01 | ETA 00:05:45
Time 00:05:40 | Step 3014569 / 6000000 | TPS 8973.29 | ETA 00:05:32
Time 00:05:50 | Step 3101366 / 6000000 | TPS 8679.69 | ETA 00:05:33
Time 00:06:00 | Step 3187791 / 6000000 | TPS 8642.46 | ETA 00:05:25
Time 00:06:10 | Step 3277971 / 6000000 | TPS 9017.91 | ETA 00:05:01
Time 00:06:20 | Step 3367864 / 6000000 | TPS 8989.23 | ETA 00:04:52
Time 00:06:30 | Step 3456285 / 6000000 | TPS 8842.03 | ETA 00:04:47
Time 00:06:40 | Step 3543178 / 6000000 | TPS 8689.26 | ETA 00:04:42
Time 00:06:50 | Step 3629841 / 6000000 | TPS 8666.25 | ETA 00:04:33
Time 00:07:00 | Step 3718574 / 6000000 | TPS 8873.28 | ETA 00:04:17
Time 00:07:10 | Step 3807503 / 6000000 | TPS 8892.88 | ETA 00:04:06
Time 00:07:20 | Step 3897700 / 6000000 | TPS 9019.64 | ETA 00:03:53
Time 00:07:30 | Step 3985846 / 6000000 | TPS 8814.59 | ETA 00:03:48
Time 00:07:40 | Step 4075024 / 6000000 | TPS 8917.76 | ETA 00:03:35
Time 00:07:50 | Step 4163741 / 6000000 | TPS 8871.61 | ETA 00:03:26
Time 00:08:00 | Step 4250928 / 6000000 | TPS 8718.68 | ETA 00:03:20
Time 00:08:10 | Step 4339230 / 6000000 | TPS 8830.12 | ETA 00:03:08
Time 00:08:20 | Step 4431026 / 6000000 | TPS 9179.52 | ETA 00:02:50
Time 00:08:30 | Step 4517495 / 6000000 | TPS 8646.9 | ETA 00:02:51
Time 00:08:40 | Step 4606847 / 6000000 | TPS 8935.18 | ETA 00:02:35
Time 00:08:50 | Step 4695448 / 6000000 | TPS 8860.03 | ETA 00:02:27
Time 00:09:00 | Step 4786155 / 6000000 | TPS 9070.62 | ETA 00:02:13
Time 00:09:10 | Step 4871896 / 6000000 | TPS 8574.01 | ETA 00:02:11
Time 00:09:20 | Step 4964284 / 6000000 | TPS 9238.77 | ETA 00:01:52
Time 00:09:30 | Step 5054057 / 6000000 | TPS 8977.26 | ETA 00:01:45
Time 00:09:40 | Step 5145001 / 6000000 | TPS 9094.13 | ETA 00:01:34
Time 00:09:50 | Step 5230818 / 6000000 | TPS 8581.63 | ETA 00:01:29
Time 00:10:00 | Step 5318504 / 6000000 | TPS 8768.55 | ETA 00:01:17
Time 00:10:10 | Step 5408010 / 6000000 | TPS 8950.59 | ETA 00:01:06
Time 00:10:20 | Step 5500837 / 6000000 | TPS 9282.69 | ETA 00:00:53
Time 00:10:30 | Step 5590780 / 6000000 | TPS 8994.21 | ETA 00:00:45
Time 00:10:40 | Step 5678717 / 6000000 | TPS 8793.62 | ETA 00:00:36
Time 00:10:50 | Step 5764681 / 6000000 | TPS 8596.33 | ETA 00:00:27
