HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/38e28bcc5ef00d32fd078c86ad2807ba/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/38e28bcc5ef00d32fd078c86ad2807ba/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 89981 / 6000000 | TPS 8998.05 | ETA 00:10:56
Time 00:00:20 | Step 182726 / 6000000 | TPS 9274.43 | ETA 00:10:27
Time 00:00:30 | Step 277783 / 6000000 | TPS 9505.62 | ETA 00:10:01
Time 00:00:40 | Step 367151 / 6000000 | TPS 8936.71 | ETA 00:10:30
Time 00:00:50 | Step 455764 / 6000000 | TPS 8861.21 | ETA 00:10:25
Time 00:01:00 | Step 543784 / 6000000 | TPS 8801.96 | ETA 00:10:19
Time 00:01:10 | Step 629399 / 6000000 | TPS 8561.4 | ETA 00:10:27
Time 00:01:20 | Step 714209 / 6000000 | TPS 8480.98 | ETA 00:10:23
Time 00:01:30 | Step 801981 / 6000000 | TPS 8777.19 | ETA 00:09:52
Time 00:01:40 | Step 884212 / 6000000 | TPS 8223.09 | ETA 00:10:22
Time 00:01:50 | Step 968709 / 6000000 | TPS 8449.67 | ETA 00:09:55
Time 00:02:00 | Step 1052401 / 6000000 | TPS 8368.9 | ETA 00:09:51
Time 00:02:10 | Step 1137903 / 6000000 | TPS 8550.19 | ETA 00:09:28
Time 00:02:20 | Step 1223798 / 6000000 | TPS 8589.43 | ETA 00:09:16
Time 00:02:30 | Step 1309805 / 6000000 | TPS 8600.61 | ETA 00:09:05
Time 00:02:40 | Step 1395901 / 6000000 | TPS 8609.27 | ETA 00:08:54
Time 00:02:50 | Step 1483136 / 6000000 | TPS 8723.44 | ETA 00:08:37
Time 00:03:00 | Step 1568698 / 6000000 | TPS 8556.15 | ETA 00:08:37
Time 00:03:10 | Step 1654784 / 6000000 | TPS 8608.6 | ETA 00:08:24
Time 00:03:20 | Step 1743577 / 6000000 | TPS 8879.28 | ETA 00:07:59
Time 00:03:30 | Step 1827374 / 6000000 | TPS 8379.7 | ETA 00:08:17
Time 00:03:40 | Step 1915527 / 6000000 | TPS 8815.26 | ETA 00:07:43
Time 00:03:50 | Step 2005510 / 6000000 | TPS 8998.24 | ETA 00:07:23
Time 00:04:00 | Step 2096356 / 6000000 | TPS 9084.54 | ETA 00:07:09
Time 00:04:10 | Step 2183611 / 6000000 | TPS 8725.43 | ETA 00:07:17
Time 00:04:20 | Step 2274726 / 6000000 | TPS 9111.42 | ETA 00:06:48
Time 00:04:30 | Step 2362224 / 6000000 | TPS 8749.7 | ETA 00:06:55
Time 00:04:40 | Step 2448290 / 6000000 | TPS 8606.57 | ETA 00:06:52
Time 00:04:50 | Step 2541427 / 6000000 | TPS 9313.62 | ETA 00:06:11
Time 00:05:00 | Step 2625915 / 6000000 | TPS 8448.74 | ETA 00:06:39
Time 00:05:10 | Step 2713974 / 6000000 | TPS 8805.87 | ETA 00:06:13
Time 00:05:20 | Step 2804065 / 6000000 | TPS 9009.05 | ETA 00:05:54
Time 00:05:30 | Step 2893403 / 6000000 | TPS 8933.72 | ETA 00:05:47
Time 00:05:40 | Step 2980298 / 6000000 | TPS 8689.41 | ETA 00:05:47
Time 00:05:50 | Step 3072936 / 6000000 | TPS 9263.74 | ETA 00:05:15
Time 00:06:00 | Step 3162944 / 6000000 | TPS 9000.75 | ETA 00:05:15
Time 00:06:10 | Step 3249354 / 6000000 | TPS 8640.93 | ETA 00:05:18
Time 00:06:20 | Step 3336769 / 6000000 | TPS 8741.42 | ETA 00:05:04
Time 00:06:30 | Step 3424170 / 6000000 | TPS 8740.01 | ETA 00:04:54
Time 00:06:40 | Step 3511553 / 6000000 | TPS 8738.25 | ETA 00:04:44
Time 00:06:50 | Step 3600526 / 6000000 | TPS 8897.28 | ETA 00:04:29
Time 00:07:00 | Step 3688242 / 6000000 | TPS 8771.56 | ETA 00:04:23
Time 00:07:10 | Step 3777322 / 6000000 | TPS 8907.94 | ETA 00:04:09
Time 00:07:20 | Step 3867456 / 6000000 | TPS 9013.36 | ETA 00:03:56
Time 00:07:30 | Step 3961364 / 6000000 | TPS 9390.78 | ETA 00:03:37
Time 00:07:40 | Step 4056458 / 6000000 | TPS 9509.31 | ETA 00:03:24
Time 00:07:50 | Step 4142218 / 6000000 | TPS 8575.93 | ETA 00:03:36
Time 00:08:00 | Step 4228019 / 6000000 | TPS 8580.01 | ETA 00:03:26
Time 00:08:10 | Step 4315929 / 6000000 | TPS 8790.93 | ETA 00:03:11
Time 00:08:20 | Step 4403922 / 6000000 | TPS 8799.29 | ETA 00:03:01
Time 00:08:30 | Step 4500399 / 6000000 | TPS 9647.64 | ETA 00:02:35
Time 00:08:40 | Step 4596232 / 6000000 | TPS 9583.22 | ETA 00:02:26
Time 00:08:50 | Step 4690246 / 6000000 | TPS 9401.35 | ETA 00:02:19
Time 00:09:00 | Step 4779609 / 6000000 | TPS 8936.24 | ETA 00:02:16
Time 00:09:10 | Step 4868648 / 6000000 | TPS 8903.81 | ETA 00:02:07
Time 00:09:20 | Step 4956229 / 6000000 | TPS 8758.01 | ETA 00:01:59
Time 00:09:30 | Step 5044285 / 6000000 | TPS 8805.54 | ETA 00:01:48
Time 00:09:40 | Step 5134633 / 6000000 | TPS 9034.75 | ETA 00:01:35
Time 00:09:50 | Step 5226646 / 6000000 | TPS 9201.3 | ETA 00:01:24
Time 00:10:00 | Step 5316459 / 6000000 | TPS 8981.19 | ETA 00:01:16
Time 00:10:10 | Step 5402232 / 6000000 | TPS 8577.24 | ETA 00:01:09
Time 00:10:20 | Step 5493943 / 6000000 | TPS 9171.1 | ETA 00:00:55
Time 00:10:30 | Step 5581403 / 6000000 | TPS 8746 | ETA 00:00:47
Time 00:10:40 | Step 5668444 / 6000000 | TPS 8704.1 | ETA 00:00:38
Time 00:10:50 | Step 5755035 / 6000000 | TPS 8659.08 | ETA 00:00:28
